metric,step,value
ep_rew_mean,1512192,415.4380
ep_rew_mean,1520384,420.3110
ep_rew_mean,1528576,420.3110
ep_rew_mean,1536768,419.0700
ep_rew_mean,1544960,419.0700
ep_rew_mean,1553152,424.8260
ep_rew_mean,1561344,424.8260
ep_rew_mean,1569536,420.4680
ep_rew_mean,1577728,420.4680
ep_rew_mean,1585920,414.8740
ep_rew_mean,1594112,414.8740
ep_rew_mean,1602304,415.1550
ep_rew_mean,1610496,415.1550
ep_rew_mean,1618688,416.6190
ep_rew_mean,1626880,416.6190
ep_rew_mean,1635072,412.7910
ep_rew_mean,1643264,412.7910
ep_rew_mean,1648192,412.7910
ep_rew_mean,1651456,408.8840
ep_rew_mean,1656384,416.5530
ep_rew_mean,1659648,408.8840
ep_rew_mean,1664576,416.5530
ep_rew_mean,1667840,408.6450
ep_rew_mean,1672768,415.9370
ep_rew_mean,1676032,408.6450
ep_rew_mean,1680960,415.9370
ep_rew_mean,1689152,415.7150
ep_rew_mean,1697344,415.7150
ep_rew_mean,1705536,416.9780
ep_rew_mean,1713728,416.9780
ep_rew_mean,1721920,412.4170
ep_rew_mean,1730112,412.4170
ep_rew_mean,1738304,416.3640
ep_rew_mean,1746496,416.3640
ep_rew_mean,1754688,414.1130
ep_rew_mean,1762880,414.1130
ep_rew_mean,1771072,415.1870
ep_rew_mean,1779264,415.1870
ep_rew_mean,1787456,415.9810
ep_rew_mean,1795648,415.9810
ep_rew_mean,1803840,411.0130
ep_rew_mean,1812032,411.0130
ep_rew_mean,1820224,411.1990
ep_rew_mean,1828416,411.1990
ep_rew_mean,1836608,408.4190
ep_rew_mean,1844800,408.4190
ep_rew_mean,1852992,399.9260
ep_rew_mean,1861184,399.9260
ep_rew_mean,1869376,394.6040
ep_rew_mean,1877568,394.6040
ep_rew_mean,1885760,395.9640
ep_rew_mean,1888192,394.6040
ep_rew_mean,1893952,395.9640
ep_rew_mean,1896384,400.4870
ep_rew_mean,1904576,400.4870
ep_rew_mean,1912768,401.8890
ep_rew_mean,1920960,401.8890
ep_rew_mean,1928192,401.8890
ep_rew_mean,1929152,406.4190
ep_rew_mean,1936384,401.6080
ep_rew_mean,1937344,406.4190
ep_rew_mean,1944576,401.6080
ep_rew_mean,1952768,384.9980
ep_rew_mean,1960960,384.9980
ep_rew_mean,1968192,384.9980
ep_rew_mean,1976384,378.6240
ep_rew_mean,1984576,378.6240
ep_rew_mean,1992768,379.5340
ep_rew_mean,2000960,379.5340
ep_rew_mean,2009152,373.8730
ep_rew_mean,2017344,373.8730
ep_rew_mean,2025536,371.9310
ep_rew_mean,2033728,371.9310
ep_rew_mean,2041920,370.3650
ep_rew_mean,2050112,370.3650
ep_rew_mean,2058304,357.6860
ep_rew_mean,2066496,357.6860
ep_rew_mean,2074688,352.4700
ep_rew_mean,2082880,352.4700
ep_rew_mean,2091072,356.4320
ep_rew_mean,2099264,356.4320
ep_rew_mean,2107456,353.3980
ep_rew_mean,2115648,353.3980
ep_rew_mean,2123840,344.6270
ep_rew_mean,2132032,344.6270
ep_rew_mean,2140224,346.7300
ep_rew_mean,2148416,346.7300
ep_rew_mean,2156608,354.4060
ep_rew_mean,2164800,354.4060
ep_rew_mean,2172992,365.3260
ep_rew_mean,2181184,365.3260
ep_rew_mean,2189376,372.0150
ep_rew_mean,2197568,372.0150
ep_rew_mean,2205760,368.4980
ep_rew_mean,2213952,368.4980
ep_rew_mean,2222144,372.0860
ep_rew_mean,2230336,372.0860
ep_rew_mean,2238528,366.2620
ep_rew_mean,2246720,366.2620
ep_rew_mean,2254912,377.6810
ep_rew_mean,2263104,377.6810
ep_rew_mean,2271296,374.0320
ep_rew_mean,2279488,374.0320
ep_rew_mean,2287680,372.6880
ep_rew_mean,2295872,372.6880
ep_rew_mean,2304064,372.6520
ep_rew_mean,2312256,365.6160
ep_rew_mean,2320448,365.6160
ep_rew_mean,2328640,366.8420
ep_rew_mean,2336832,366.8420
ep_rew_mean,2345024,366.8660
ep_rew_mean,2353216,366.8660
ep_rew_mean,2361408,369.3920
ep_rew_mean,2369600,369.3920
ep_rew_mean,2377792,372.3080
ep_rew_mean,2385984,372.3080
ep_rew_mean,2394176,363.5390
ep_rew_mean,2402368,363.5390
ep_rew_mean,2410560,359.2960
ep_rew_mean,2418752,359.2960
ep_rew_mean,2426944,356.3180
ep_rew_mean,2435136,356.3180
ep_rew_mean,2443328,349.4910
ep_rew_mean,2451520,349.4910
ep_rew_mean,2459712,356.3150
ep_rew_mean,2467904,356.3150
ep_rew_mean,2476096,360.5810
ep_rew_mean,2484288,360.5810
ep_rew_mean,2492480,368.9140
ep_rew_mean,2500672,368.9140
ep_rew_mean,2508864,366.4230
ep_rew_mean,2517056,366.4230
ep_rew_mean,2525248,367.7310
ep_rew_mean,2533440,367.7310
ep_rew_mean,2541632,376.9470
ep_rew_mean,2549824,376.9470
ep_rew_mean,2558016,377.1900
ep_rew_mean,2566208,377.1900
ep_rew_mean,2574400,377.6170
ep_rew_mean,2582592,377.6170
ep_rew_mean,2590784,377.9810
ep_rew_mean,2598976,377.9810
ep_rew_mean,2607168,382.4490
ep_rew_mean,2615360,382.4490
ep_rew_mean,2623552,388.7260
ep_rew_mean,2631744,388.7260
ep_rew_mean,2639936,393.4340
ep_rew_mean,2648128,398.7520
ep_rew_mean,2648192,393.4340
ep_rew_mean,2656320,398.7520
ep_rew_mean,2656384,398.4380
ep_rew_mean,2664512,396.9730
ep_rew_mean,2664576,398.4380
ep_rew_mean,2672704,396.9730
